Series,Price
8180M,"$13,011.00"
8180,"$10,009.00"
8176M,"$11,722.00"
8176F,"$8,874.00"
8176,"$8,719.00"
8170M,"$10,409.00"
8170,"$7,408.00"
8168,"$5,890.00"
8164,"$6,117.00"
8160T,"$4,936.00"
8160M,"$7,704.00"
8160F,"$4,856.00"
8160,"$4,704.00"
8158,"$7,007.00"
8156,"$7,007.00"
8153,"$3,115.00"
6154,"$3,543.00"
6152,"$3,658.00"
6150,"$3,358.00"
6148F,"$3,227.00"
6148,"$3,074.00"
6146,"$3,286.00"
6144,"$2,925.00"
6142M,"$5,949.00"
6142F,"$3,101.00"
6142,"$2,949.00"
6140M,"$5,448.00"
6140,"$2,448.00"
6138T,"$2,742.00"
6138F,"$2,767.00"
6138,"$2,613.00"
6136,"$2,460.00"
6134M,"$5,217.00"
6134,"$2,217.00"
6132,"$2,111.00"
6130T,"$1,988.00"
6130F,"$2,049.00"
6130,"$1,897.00"
6128,"$1,693.00"
6126T,"$1,865.00"
6126F,"$1,931.00"
6126,"$1,776.00"
5122,"$1,224.00"
5120T,"$1,727.00"
5120,"$1,558.00"
5119T,"$1,555.00"
5118,"$1,273.00"
5115,"$1,221.00"
4116T,"$1,112.00"
4114T,$773.00
4109T,$501.00
3106,$311.00
3104,$218.00
4108,$422.00
4110,$506.00
4112,$478.00
4114,$699.00
4116,"$1,007.00"
