Series,Price,max_memory(GB)
8180M,"$13,011.00",1500
8180,"$10,009.00",768
8176M,"$11,722.00",1500
8176,"$8,719.00",768
8170M,"$10,409.00",1500
8170,"$7,408.00",768
8168,"$5,890.00",768
8164,"$6,117.00",768
8160T,"$4,936.00",768
8160M,"$7,704.00",1500
8160F,"$4,856.00",768
8160,"$4,704.00",768
8158,"$7,007.00",768
8156,"$7,007.00",768
8153,"$3,115.00",768
6154,"$3,543.00",768
6152,"$3,658.00",768
6150,"$3,358.00",768
6148F,"$3,227.00",768
6148,"$3,074.00",768
6146,"$3,286.00",768
6144,"$2,925.00",768
6142M,"$5,949.00",1500
6142,"$2,949.00",768
6140M,"$5,448.00",1500
6140,"$2,448.00",768
6138T,"$2,742.00",768
6138F,"$2,767.00",768
6138,"$2,613.00",768
6136,"$2,460.00",768
6134M,"$5,217.00",1500
6134,"$2,217.00",768
6132,"$2,111.00",768
6130T,"$1,988.00",768
6130,"$1,897.00",768
6128,"$1,693.00",768
6126T,"$1,865.00",768
6126F,"$1,931.00",768
6126,"$1,776.00",768
5122,"$1,224.00",768
5120T,"$1,727.00",768
5120,"$1,558.00",768
5119T,"$1,555.00",768
5118,"$1,273.00",768
5115,"$1,221.00",768
4116T,"$1,112.00",768
4114T,$773.00,768
4109T,$501.00,768
3106,$311.00,768
3104,$218.00,768
4108,$422.00,768
4110,$506.00,768
4112,$478.00,768
4114,$699.00,768
4116,"$1,007.00",768
